venues
name,location,postal_town,longitude,latitude,w3w,capacity,in_house_gear,band_type,genre,contact_name,contact_number,contact_email,contact_link,description,additional_info,logo_url
The Hariy Dog,"The Hairy Dog, Becket Street, Derby, UK",Derby,-1.3587912,53.4327034,eggs.noon.enhancement,0,"Sound System, Lighting Rig",[],[],Nicole Butler,07446845555,nicole@hairydogvenue.co.uk,"{""website"":""https://hairydogvenue.co.uk/"",""instagram"":""https://www.instagram.com/thehairydogderby"",""facebook"":""https://www.facebook.com/thehairydogderby""}",The Hairy Dog is the small music venue with a big sound in the heart of Derby.,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Tap 'n' Tumbler,"Tap & Tumbler, Wollaton Street, Nottingham, UK",Nottingham,-1.1534573,52.9550735,dozen.arena.move,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01159413414,7050@greeneking.co.uk,"{""website"":""https://www.greeneking.co.uk/pubs/nottinghamshire/tap-and-tumbler"",""facebook"":""https://www.facebook.com/TapnTumblerNottingham/""}",The Tap & Tumbler is a pub at the heart of Nottingham,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Old Salutation Inn,"The Old Salutation, Maid Marian Way, Nottingham, UK",Nottingham,-1.1517673,52.9508688,banana.factor.scar,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01159881948,Thesalutationvenue@gmail.com,"{""website"":""http://www.nottinghamgigguide.com/venue/nottingham/salutation_inn"",""facebook"":""https://www.facebook.com/TheSalNotts""}","Welcome to The Old Salutation Inn.
To keep up with our events, offers and for any band inquiries, give the page a like!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Old Cold Store,"The Old Cold Store, Queensbridge Road, Nottingham, UK",Nottingham,-1.1487384,52.9533834,chose.rising.congratulations,0,"Sound System, Projector",[],[],General,01159850611,vatandfiddleevents@castlerockbrewery.co.uk,"{""website"":""https://www.castlerockbrewery.co.uk/function-rooms/old-cold-store/""}","The Old Cold Store gets its name from its former line of service to the brewery – a large storage area for keeping beer cold! Thanks to expansion, the Old Cold Store is now an industrial and minimalist function facility available for private hire. It is ideally located just a short stroll from Nottingham station.
Essentially a supersized blank canvas, the Old Cold Store has a reputation for live music events thanks to its work with Revolution Sounds (formally of the Maze) and Rat Cat. Complete with a private, full-sized bar, this huge area can be organised to your liking and is suitable for a range of events including wedding receptions and corporate meetings.
The Castle Rock Team Party is held here every year, and the space is put to good use for Castle Rock’s annual Yard Party.
		Sound system
		Projector
		Free WiFi
		Plasma TV
		Dining and buffet packages available
","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Sanctuary,"Sanctuary Rock Bar, Cow Lane, Burnley, UK",Burnley,-2.2465192,53.789685,terms.gallons.straw,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01282459595,sanctuaryrockbar@gmail.com,"{""facebook"":""https://www.facebook.com/sanctuary.burnley""}","3 floor multi-genre live music venue, with an incredible, warm & friendly atmosphere like no other.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Scene,"The Scene, Newland, Lincoln, UK",Lincoln,-0.5444655,53.2303383,list.trips.news,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01522569677,info@thescenelincoln.com,"{""website"":""https://thescene.club/"",""facebook"":""https://www.facebook.com/TheSceneLincoln""}","Lincoln's Premier LGBTQ+ Venue 🏳️‍🌈

Check our website for all upcoming events!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Akedo Bar,"Akēdo Gaming Bar Lincoln, Corporation Street, Lincoln, UK",Lincoln,-0.5404526,53.2304939,topic.evenly.copy,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01522274200,akedoakedo2016@gmail.com,"{""website"":""https://www.akedogamingbar.com/"",""facebook"":""https://www.facebook.com/akedogamingbar""}",Akēdo Remastered is coming,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Engine Shed,"The Engine Shed, Lincoln, UK",Lincoln,-0.5455222,53.2272875,fallen.jolly.twin,950,730m Squared Space,[],[],General,01522837400,hire@engineshed.co.uk,"{""website"":""https://engineshed.co.uk/"",""facebook"":""https://www.facebook.com/engineshed/"",""instagram"":""https://www.instagram.com/engineshed/"",""twitter"":""https://twitter.com/engineshed""}",Leading the way for live music & entertainment in Lincoln......,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Six Six Bar,"The Six Six Bar, East Road, Cambridge, UK",Cambridge,0.1311545,52.2025469,rates.universally.petal,180,"Mackie DL16S (16 channel) digital mixer using Master Fader 5 app as an interface. This is run from an iPad, alternatively touring engineers can bring and use any device that supports WiFi connection and is compatible with either Mackie Master Fader 5 app or Mix Station app, 2x HH HPT-115 PA Speaker, 2x HH HPS-1 15 Sub Woofer, Stage Monitoring: 3x Yamaha DHR12M Active Monitors, Backline: 1x Blackstar ID:100 Guitar Amp (DI compatible), 1x Blackstar S1-413a Guitar Cab, 1x Orange PPC212V Guitar Cab, 4x DI Boxes, 1x Pearl Export Drum Kit (Kick, Snare, 2x Rack Tom, 1x Floor Tom), 4x Cymbal Stands inc Hi Hat stand, 1x Mapex Drum Throne ,Drummers will need to bring ALL breakables. This includes; Cymbals (plus any extra stands you may need), Hi Hat Clutch, Kick Drum Pedal. Microphones: Drum Mics - 1x AKG D112 MkII, 5x Shure e604, Instrument Mics - 2x Sennheiser e609, 2x Shure SM57, Vocal Mics - 1x Shure SM58 Beta, 4x Shure SM58",[],[],General,00000000000,info@thesixsixbars.com,"{""website"":""https://www.thesixsixbars.com/"",""facebook"":""https://www.facebook.com/TheSixSixBar"",""instagram"":""https://www.instagram.com/thesixsixbar/""}","Independent Grassroots Music Venue & Rock Bar.

The Home of Rock n Roll for Cambridgeshire.

""The Viper Room of the UK"". Thomas Nicholas - American Pie . 2024

The Number 1 supporters of Grassroots Live Music in Cambridgeshire.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Portland Arms,"The Portland Arms, Chesterton Road, Cambridge, UK",Cambridge,0.1230356,52.2137173,habit.sharp.loss,200,"PA, Lighting Rig, Green Room, Online Tickets, Sound Tech",[],[],General,01223357268,blank@yournextshow.co.uk,"{""website"":""https://theportlandarms.co.uk/wp/"",""facebook:""https://www.facebook.com/ThePortlandArms/"",""twitter"":""http://twitter.com/theportlandarms"",instagram"":""https://www.instagram.com/theportlandarms""}""",The official pages for The Portland Arms pub & live music venue in Cambridge.,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Bullingdon,"The Bullingdon, Cowley Road, Oxford, UK",Oxford,-1.2359377,51.7473899,once.buzz.healers,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,info@thebullingdon.co.uk,"{""website"":""https://www.thebullingdon.co.uk/index_2022.php"",""facebook"":""https://www.facebook.com/TheBullingdon"",""twitter"":""https://twitter.com/TheBullingdon""}","Oxfords leading independent venue
Gigs + Club Nights + Comedy and more
Gig Bookings - info@thebullingdon.co.uk","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Rebellion,"Rebellion Manchester, Whitworth Street West, Manchester, UK",Manchester,2.2504973,53.4742652,probe.expect.angel,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01616371960,BOOKINGS@REBELLION.CLUB,"{""website"":""https://www.rebellion.club/"",facebook"":""https://www.facebook.com/rebellionmanchester/"", instagram"":""https://www.instagram.com/rebellionmanchester/"", tiktok"":""https://www.tiktok.com/@rebellionmcr""}""",The dark side of deansgate,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Grand Central,"Grand Central Alt Bar & Live Music Venue, 80 Oxford Street, Manchester, UK",Manchester,-0.14608,51.51475,little.tips.final,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Robin,01612360890,Robin@grandcentralmanchester.com,"{""website"":""https://www.grandcentralmanchester.com/"",""facebook"":""https://www.facebook.com/thegrandcentralmcr/"",""instagram"":""https://www.instagram.com/grandcentralmcr"",""twitter"":""https://twitter.com/grandcentralmcr""}","Alternative bar and live music space with weekly live shows and DJs playing the best in alt, rock and metal.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Mama Liz's,"Mama Liz's, North Street, Stamford, UK",Stamford,-0.4779055,52.6539883,rising.audit.paper,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01780765888,bookings@mamaliz.co.uk,"{""website"":""https://mamaliz.co.uk/"",""facebook"":""https://www.facebook.com/profile.php?id=100089377704622""}","Now open Wednesday - Sunday, 12 - late.
See www.mamaliz.co.uk for our lunch and dinner menus plus all of our entertainment events.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Trillians,"Trillians Rock Bar, Princess Square, Newcastle upon Tyne, UK",Newcastle,-1.61396,54.97328,test.swing.could,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,07710095238,info@trilliansnewcastle.co.uk,"{""website"":""https://trilliansnewcastle.co.uk/"",""facebook"":""https://www.facebook.com/trilliansrockbar"",""instagram"":""https://www.instagram.com/trilliansrocks/"",""twitter"":""https://twitter.com/trilliansrock""}",Rock bar,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Railway Tavern,"Railway Tavern, High Northgate, Darlington, UK",Darlington,-1.5521242,54.5320352,tester.turkey.trace,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Anki Findlater,01325464963,blank@yournextshow.co.uk,"{""facebook"":""https://www.facebook.com/railwaytavernpub""}",Possibly the first ' Railway ' pub in the world which opened in 1827 to serve passengers of the two-year old Stockton & Darlington Railway,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Head Of Steam,"The Head of Steam Newcastle, Neville Street, Newcastle upon Tyne, UK",Newcastle,-1.6155307,54.9695715,whips.mild.stray,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01912304236,newcastle@theheadofsteam.co.uk,"{""facebook"":""https://www.theheadofsteam.co.uk/bars/newcastle"",""twitter"":""http://www.twitter.com/HOS_Newcastle"",""instagram"":""https://www.instagram.com/HOS_NEWCASTLE""}","Since it’s inception in 1996, The Head of Steam Newcastle has cemented itself as a firm favourite in Newcastle. Situated right across from Newcastle Central Station.
The Head of Steam Newcastle has gained notoriety for hosting the best in up-to-the-minute music. Combining both the venues welcoming atmosphere and warm surroundings with an emphasis on musical brilliance the Head of Steam Newcastle has proved a popular breeding ground for talent.
Offering The Head of Steam’s celebrated selection of exceptional local craft beer and real ale as well as boasting breweries from all around the world, an array of cocktails, spirits and environmentally conscious wine as well as hot drinks.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Penny Gill,"The Penny Gill, Cheapside, Spennymoor, UK",Spennymoor,-1.6004208,54.6999723,incremet.sleeper.gosh,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,01388818849,blank@yournextshow.co.uk,"{""facebook"":""https://www.facebook.com/pennygillrockbar/""}","Top Rock Bar in Spennymoor, County Durham. Hosting Live Music, Open-Mic, Karaoke and Quiz Nights Eve","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Forum Music Studios,"The Forum Music Studios, Borough Road, Darlington, UK",Darlington,-1.5473876,54.5282193,grow.older.trace,200,"Stage: 12ft x 28ft x 2ft aluminium stage made up of 12 stage blocks with a removable 6ft x 8ft drum riser, Sound: Yamaha M7CL-48 Console (Main), D&b audiotechnik C7 Top x4 D&b audiotechnik C7 Sub x4 D&b audiotechnik D80 Amp x2 28x channels to stage (microphone inputs) 8x aux sends to stage (monitor outputs), Monitors: Mackie SRM 450 active x9, Power: 10x 13 amp at back of stage, 6x 13 amp trailing sockets at front of stage 3 Phase Power Supply 32amp Ceeform Power Supply In Use, AV: CD Player Sanyo Projector (VGA) 110” Screen (4:3) PTZ Optics HD Camera System Apple MacMini, Cinema System: Mackie HR624 Satellite Speakers Mackie SR120 Subwoofer Optoma 720p HD Projector (HDMI) 160” Screen (16:9) Blu-ray Player, Lighting: LightShark LS-1 Console SV PixelBeam 160 x4 SV MH-200 Pro Spot x6 ADJ Hex Wash 7 x2 ADJ Inno ColorBeam 12 x2 ADJ Megabar Pro x2 SV ShowBar TriLED x10 SV LED Flood Panel x6 SV LED Par56 x4 SV LED Par64 x6 SV AF-180 LED Fogger x2 Antari F1 Fazer (Lighting plan available upon request), Microphones: Shure SM58 x12 Shure SM57 x8 Shure PG56 x2 Sennheiser E604 x8 Sennheiser E914 x2 SE SE8 x2 AKG D112 x2 Sennheiser XSW-1 with SKM 825 (Wireless) x4 Sennheiser SK-XSW with ME2 Lavalier Mic x4 Shure PG58 (Wireless) x1 EMO Passive DI x4 BSS Active DI x5, Backline (Available Upon Request): Drum Kit: 5 Piece Pearl Vision 22” Bass Drum, 10” Rack Tom, 12” Rack Tom, “16 Floor Tom, 14” Snare Drum 1x Single Bass Drum Pedal, 1x Hi-Hat Stand, 1x Snare Stand, 2x Boom Cymbal Stand, 1x Straight Cymbal Stand, 1x Drum Throne, Bass Amp: 1x Fender Rumble 100 Combo, Guitar Amp: 1x Marshall Valve State AVT2000 Combo 2x Laney LX65R Combo 2x Crate GT65 Combo, Keyboard: 1x Yamaha P45 Electric Piano, Cabs: 1x Trace Elliot 15” Bass Cab 2x Marshall 4x12” Guitar Cab",[],[],June/ Kristen,01325363135,info@theforumonline.co.uk,"{""website"":""https://theforumonline.co.uk/"",""twitter"":""https://twitter.com/TheForum_Music"",""youtube"":""https://www.youtube.com/channel/UCgbACeh4kIJKKAgMEe_gKQQ"",""facebook"":""https://www.facebook.com/theforummusicstudios/"",""instagram"":""https://www.instagram.com/theforumdarlington/""}","Darlington's Home Of Live Music' with Cafe/Bar, Performance Hall, Film,Comedy & R'n'B Clubs","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Underground,"The Underground, Duke Street, Bradford, UK",Bradford,-1.7542856,53.7959184,again.less.thank,350,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Matt,00000000000,matt@theundergroundbradford.com,"{""website"":""https://www.undergroundbradford.co.uk/"",""facebook"":""https://www.facebook.com/theundergroundbradford"",""instagram"":""https://www.instagram.com/theundergroundbradford/"",""tiktok"":""https://www.tiktok.com/@theugbradford""}","Bradford's Grassroots Live Music Venue
Live Music // Drinks // Good Vibes","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
Night Train,"Nightrain, Queensgate, Bradford, UK",Bradford,-1.75206,53.79391,copper.spicy.blend,400,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Keith Tempest,01274734239,keith.tempest@nightrain.co.uk,"{""website"":""https://nightrain.co.uk/"",""facebook"":""https://www.facebook.com/NightrainBradford"",""tiktok"":""https://www.tiktok.com/@nightrainbradford"",""instagram"":""https://www.instagram.com/nightrainbradford/"",""twitter"":""https://www.twitter.com/NightrainVenue""}","Keeping Live Music Alive with Grassroots, Tribute and Touring Bands.
🎵 DJ’s at weekends till 3","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
1in12,"1 In 12 Club, Albion Street, Bradford, UK",Bradford,-1.7581442,53.7945342,tubes.fails.shadow,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,oneintwelve@riseup.net,"{""website"":""https://1in12club.wordpress.com/"",""facebook"":""https://www.facebook.com/1in12/""}",The 1 in 12 club since 1981,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
The Gryphon,"The Gryphon, 41 Colston Street, Bristol, UK",Bristol,-2.597745,51.455444,facing.spices.being,0,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,07894239567,blank@yournextshow.co.uk,"{""facebook"":""https://www.facebook.com/gryphonbristol""}",Bristol’s Premier Real Ale & Metal Pub. “BEST PUB IN BRISTOL” Award 2019. 13 Years in the CAMRA GBG,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",https://linktothelogo.com/logo.png
