name,location,postal_town,latitude,longitude,logo_url,description,my_venues,genre,band_type,contact_name,contact_number,contact_email,contact_link
No Play Promotions,"Liverpool, England, United Kingdom",Liverpool,53.4071991,-2.99168,,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,contact@noplay.uk,"{“facebook"":""https://www.facebook.com/noplayfest"",""instagram"":""https://www.instagram.com/noplay.uk/"",""website"":""https://www.noplay.uk/"",""twitter"":""https://twitter.com/noplayuk"",""tiktok"":""https://tiktok.com/@noplayuk""}"
Reaction Management,"Scotland, United Kingdom",Scotland,56.7861112,-4.1140518,,Management | Consultancy | Promotion | Digital Marketing | Tour Booking,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,jay.burnett@reaction-management.com,"{""website"":""https://reaction-management.com/"",“facebook”:”https://www.facebook.com/ReactionManagement/"",""instagram"":""https://www.instagram.com/reactionmanagement/"",""twitter"":""https://twitter.com/we_are_reaction"",""tiktok"":""http://tiktok.com/@reactionmanagement""}"
Riffolution Promotions,"Manchester, England, United Kingdom",Manchester,53.4794892,-2.2451148,,"UK event promotions, Manchester based. Desert Rock/Stoner/Doom/Psychedelic/Sludge","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,riffolution-promotions.com/contact,"{“website”:""https://riffolution-promotions.com/"",""facebook"":""https://www.facebook.com/RiffolutionPromotions"",""instagram"":""https://www.instagram.com/riffolutionpromotions/""}"
Tapestry Promotions,"Manchester, England, United Kingdom",Manchester,53.4794892,-2.2451148,,Manchester based promotions/events company.,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,dan@tapestrypromotions.co.uk,"{""website"":""https://www.tapestrypromotions.co.uk/"",""facebook"":""https://www.facebook.com/TapestryPromotions"",""twitter"":""https://twitter.com/TapestryPromo"",""instagram"":""https://www.instagram.com/tapestrypromotions/""}"
Torturous Promotions,"Nottingham, Nottinghamshire, England, United Kingdom",Nottingham,52.9534193,-1.1496461,,Promoting Metal gigs in Nottingham since 2009.,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Phil Core,00000000000,philcore98@gmail.com,"{“facebook”:""https://www.facebook.com/TorturousPromotions""}"
TwoFace Promotions,"Oxford, Oxfordshire, England, United Kingdom",Oxford,51.7520131,-1.2578499,,Trying to revive Oxfords metal scene!,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,twofacepromotions@gmail.com,"{""facebook"":""https://www.facebook.com/twofacepromo""}"
Unhinged Promotions,"Manchester, England, United Kingdom",Manchester,53.4794892,-2.2451148,,"Unhinged are Manchester's newest up and coming metal management, artist development, booking, and promotions team. Founded in 2024 with the aim of supporting both local and out of town metal bands of all shapes and sizes.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,unhingedpromotions@gmail.com,"{“facebook"":""https://www.facebook.com/profile.php?id=61557148797523""}"
UK Thrashers,"Coventry, England, United Kingdom",Coventry,52.4081812,-1.510477,,"Now Featuring UK Death Dealers - Thrash and Death Metal...from the UK and beyond, News, Reviews, Interviews, Management, Booking & PR","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Neil,07857627220,ukthrashers@gmail.com,"{""facebook"":""https://www.facebook.com/ukthrashers/"",""instagram"":""https://instagram.com/ukthrashers"",""website"":""https://ukthrashers.org/""}"
Novacaine Festival,"Sheffield, England, United Kingdom",Sheffield,53.3806626,-1.4702278,,"🎶 Welcome to Novacaine Festival: The UK's New Music Discovery Festival! 🎶 Join us on Saturday, October 4th, 2025, at the iconic Corporation in Sheffield for an unforgettable day of emerging talent and fresh sounds.","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Scott O’Shea,00000000000,novacainepr@gmail.com,"{""facebook"":""https://www.facebook.com/WeAreNovacaine/"",""instagram"":""https://www.instagram.com/wearenovacaine/"",""tiktok"":""https://www.tiktok.com/@wearenovacaine"",""twitter"":""https://twitter.com/wearenovacaine"",""website"":""https://www.novacaine.co.uk/""}"
UK Death Dealers,"London, United Kingdom",London,51.5074456,-0.1277653,,"UK Death Dealers we are all about supporting UK Death Metal! There’ll be news, reviews and more!","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,ukdeathdealers@outlook.com,"{“website"":""https://ukthrashers.org/category/uk-death-dealers/"",“facebook”:”https://www.facebook.com/profile.php?id=100094116352934"",""instagram"":""https://www.instagram.com/ukdeathdealers?igsh=MWdod2V5dmV4eGRlag%3D%3D&utm_source=qr""}"
Venom Fest,"Newcastle upon Tyne, Tyne and Wear, England, United Kingdom",Newcastle,54.9738474,-1.6131572,,"NORTH EAST EVENTS. LIVE METAL, GORE BURLESQUE, FIRE PERFORMERS AND ALT MARKETS","This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],Thorn Faustus,00000000000,thornfaustus@venomevents.com,"{""website"":""https://venomevents.bigcartel.com/"",""facebook"":""https://m.facebook.com/61553342583087/"",""instagram"":""https://instagram.com/venom_fest""}"
Metal & Rock Gigs Liverpool,"Liverpool, England, United Kingdom",Liverpool,53.4071991,-2.99168,,A central location to share and collate all Metal/Rock/Alternative shows happening in Liverpool,"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,blank@yournextshow.co.uk,"{""facebook"":""https://www.facebook.com/profile.php?id=100090282892831"",""instagram"":""https://instagram.com/metalrockgigsliverpool""}"
Scaredy Cat Promotions,"London, United Kingdom",London,51.5074456,-0.1277653,,Good gigs for good people. (fka Grim Heart Promotions),"This is a placeholder section. We don’t have anything here right now but bare with us, we’re working on it!",[],[],General,00000000000,scaredycatpromo@gmail.com,"{""facebook"":""https://www.facebook.com/grimheartpromo"",""instagram"":""https://www.instagram.com/scaredycatpromo/""}"
